make,fuel-type,num.doors,body.style,engine.location,wheel.base,length,width,height,num.cylinders,engine.size,fuel.system,horsepower,city.mpg,price
alfa-romero,gas,two,convertible,front,88.6,168.8,64.1,48.8,four,130,mpfi,111,21,13495
alfa-romero,gas,two,convertible,front,88.6,168.8,64.1,48.8,four,130,mpfi,111,21,16500
alfa-romero,gas,two,hatchback,front,94.5,171.2,65.5,52.4,six,152,mpfi,154,19,16500
audi,gas,four,sedan,front,99.8,176.6,66.2,54.3,four,109,mpfi,102,24,13950
audi,gas,four,sedan,front,99.4,176.6,66.4,54.3,five,136,mpfi,115,18,17450
audi,gas,two,sedan,front,99.8,177.3,66.3,53.1,five,136,mpfi,110,19,15250
audi,gas,four,sedan,front,105.8,192.7,71.4,55.7,five,136,mpfi,110,19,17710
audi,gas,four,wagon,front,105.8,192.7,71.4,55.7,five,136,mpfi,110,19,18920
audi,gas,four,sedan,front,105.8,192.7,71.4,55.9,five,131,mpfi,140,17,23875
bmw,gas,two,sedan,front,101.2,176.8,64.8,54.3,four,108,mpfi,101,23,16430
bmw,gas,four,sedan,front,101.2,176.8,64.8,54.3,four,108,mpfi,101,23,16925
bmw,gas,two,sedan,front,101.2,176.8,64.8,54.3,six,164,mpfi,121,21,20970
bmw,gas,four,sedan,front,101.2,176.8,64.8,54.3,six,164,mpfi,121,21,21105
bmw,gas,four,sedan,front,103.5,189,66.9,55.7,six,164,mpfi,121,20,24565
bmw,gas,four,sedan,front,103.5,189,66.9,55.7,six,209,mpfi,182,16,30760
bmw,gas,two,sedan,front,103.5,193.8,67.9,53.7,six,209,mpfi,182,16,41315
bmw,gas,four,sedan,front,110,197,70.9,56.3,six,209,mpfi,182,15,36880
chevrolet,gas,two,hatchback,front,88.4,141.1,60.3,53.2,three,61,2bbl,48,47,5151
chevrolet,gas,two,hatchback,front,94.5,155.9,63.6,52,four,90,2bbl,70,38,6295
chevrolet,gas,four,sedan,front,94.5,158.8,63.6,52,four,90,2bbl,70,38,6575
dodge,gas,two,hatchback,front,93.7,157.3,63.8,50.8,four,90,2bbl,68,37,5572
dodge,gas,two,hatchback,front,93.7,157.3,63.8,50.8,four,90,2bbl,68,31,6377
dodge,gas,two,hatchback,front,93.7,157.3,63.8,50.8,four,98,mpfi,102,24,7957
dodge,gas,four,hatchback,front,93.7,157.3,63.8,50.6,four,90,2bbl,68,31,6229
dodge,gas,four,sedan,front,93.7,157.3,63.8,50.6,four,90,2bbl,68,31,6692
dodge,gas,four,sedan,front,93.7,157.3,63.8,50.6,four,90,2bbl,68,31,7609
dodge,gas,?,sedan,front,93.7,157.3,63.8,50.6,four,98,mpfi,102,24,8558
dodge,gas,four,wagon,front,103.3,174.6,64.6,59.8,four,122,2bbl,88,24,8921
dodge,gas,two,hatchback,front,95.9,173.2,66.3,50.2,four,156,mfi,145,19,12964
honda,gas,two,hatchback,front,86.6,144.6,63.9,50.8,four,92,1bbl,58,49,6479
honda,gas,two,hatchback,front,86.6,144.6,63.9,50.8,four,92,1bbl,76,31,6855
honda,gas,two,hatchback,front,93.7,150,64,52.6,four,79,1bbl,60,38,5399
honda,gas,two,hatchback,front,93.7,150,64,52.6,four,92,1bbl,76,30,6529
honda,gas,two,hatchback,front,93.7,150,64,52.6,four,92,1bbl,76,30,7129
honda,gas,four,sedan,front,96.5,163.4,64,54.5,four,92,1bbl,76,30,7295
honda,gas,four,wagon,front,96.5,157.1,63.9,58.3,four,92,1bbl,76,30,7295
honda,gas,two,hatchback,front,96.5,167.5,65.2,53.3,four,110,1bbl,86,27,7895
honda,gas,two,hatchback,front,96.5,167.5,65.2,53.3,four,110,1bbl,86,27,9095
honda,gas,four,sedan,front,96.5,175.4,65.2,54.1,four,110,1bbl,86,27,8845
honda,gas,four,sedan,front,96.5,175.4,62.5,54.1,four,110,1bbl,86,27,10295
honda,gas,four,sedan,front,96.5,175.4,65.2,54.1,four,110,mpfi,101,24,12945
honda,gas,two,sedan,front,96.5,169.1,66,51,four,110,2bbl,100,25,10345
isuzu,gas,four,sedan,front,94.3,170.7,61.8,53.5,four,111,2bbl,78,24,6785
isuzu,gas,two,hatchback,front,96,172.6,65.2,51.4,four,119,spfi,90,24,11048
jaguar,gas,four,sedan,front,113,199.6,69.6,52.8,six,258,mpfi,176,15,32250
jaguar,gas,four,sedan,front,113,199.6,69.6,52.8,six,258,mpfi,176,15,35550
jaguar,gas,two,sedan,front,102,191.7,70.6,47.8,twelve,326,mpfi,262,13,36000
mazda,gas,two,hatchback,front,93.1,159.1,64.2,54.1,four,91,2bbl,68,30,5195
mazda,gas,two,hatchback,front,93.1,159.1,64.2,54.1,four,91,2bbl,68,31,6095
mazda,gas,two,hatchback,front,93.1,159.1,64.2,54.1,four,91,2bbl,68,31,6795
mazda,gas,four,sedan,front,93.1,166.8,64.2,54.1,four,91,2bbl,68,31,6695
mazda,gas,four,sedan,front,93.1,166.8,64.2,54.1,four,91,2bbl,68,31,7395
mazda,gas,two,hatchback,front,95.3,169,65.7,49.6,two,70,4bbl,101,17,10945
